,age_group,gender,education,total_fam_income,marital_status,nicotine,alcohol,marijuana,cocaine,heroin,hallucinogen,inhalant,methamphetamine,pain_reliever,tranquilizer,stimulant,psychotherapeutic,think,plan,attempt
578,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
579,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
580,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
581,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
588,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
594,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
595,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
602,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605,1,0,5,1,4,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1
611,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613,1,0,5,6,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
617,1,1,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
622,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
626,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
628,1,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
629,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
632,1,1,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
636,1,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
639,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
646,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
647,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
651,1,1,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
652,1,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
658,1,0,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
659,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
661,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
669,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676,1,0,5,7,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
